date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-01-27,79.1374,79.5578,78.8669,79.0084,12477405,12477405,0.058265,0.074,79.2115,"Jan 27, 14",0
2014-01-28,79.3663,79.8408,78.8835,79.616,10774257,10774257,0.607629,0.769,79.4503,"Jan 28, 14",0.00769032153543174
2014-01-29,79.0167,80.0738,78.7837,79.1665,13194427,13194427,-0.449478,-0.565,73.7853,"Jan 29, 14",0.0020010530525868715
2014-01-30,78.2426,79.0334,77.4602,78.2343,14632354,14632354,-0.932254,-1.178,78.1785,"Jan 30, 14",-0.009797692397263963
2014-01-31,77.2854,77.6433,76.3282,76.7111,17372323,17372323,-1.5232,-1.947,77.0808,"Jan 31, 14",-0.02907665514046599
2014-02-03,76.5071,76.8359,74.6135,74.9548,20381403,20381403,-1.7563,-2.289,74.8638,"Feb 3, 14",-0.0513059370902333
2014-02-04,75.2211,75.4459,74.4054,74.9298,17703260,17703260,-0.024969,-0.033,74.3666,"Feb 4, 14",-0.05162235914155956
2014-02-05,75.167,75.4209,74.3971,74.5635,16395819,16395819,-0.366243,-0.489,74.5362,"Feb 5, 14",-0.05625857503759082
2014-02-06,75.033,75.5946,74.815,75.2761,13650204,13650204,0.712539,0.956,75.2745,"Feb 6, 14",-0.04723928088658921
2014-02-07,75.5443,75.9718,75.2342,75.9299,12632454,12632454,0.653844,0.869,74.87,"Feb 7, 14",-0.038964211400306696
2014-02-10,75.821,75.888,74.9073,75.0414,12241464,12241464,-0.88856,-1.17,75.1845,"Feb 10, 14",-0.05020985110443951
2014-02-11,75.0749,76.282,74.9408,76.1479,13426576,13426576,1.1065,1.475,75.8569,"Feb 11, 14",-0.03620501111274229
2014-02-12,76.2904,77.0029,75.9802,76.3491,10753088,10753088,0.201182,0.264,76.4791,"Feb 12, 14",-0.033658446443669124
2014-02-13,75.9383,76.8269,75.779,76.6425,9776453,9776453,0.293393,0.384,76.4975,"Feb 13, 14",-0.029944917249305092
2014-02-14,76.9359,79.1573,76.785,78.889,18335517,18335517,2.2465,2.931,78.4189,"Feb 14, 14",-0.0015112317171338597
2014-02-18,78.8555,79.4003,78.2603,78.8555,12981890,12981890,-0.033527,-0.042,78.8089,"Feb 18, 14",-0.0019352372659108181
2014-02-19,78.6291,79.8782,78.6291,78.7549,12228854,12228854,-0.100592,-0.128,79.2676,"Feb 19, 14",-0.0032085196004473992
2014-02-20,78.6711,80.2805,78.5872,79.9452,14425193,14425193,1.1903,1.511,79.8604,"Feb 20, 14",0.011856967107294987
2014-02-21,80.0374,80.1213,79.5848,79.6602,11286050,11286050,-0.28501,-0.357,79.882,"Feb 21, 14",0.008249755722176486
2014-02-24,80.1464,81.5212,79.9787,80.8422,16034244,16034244,1.182,1.484,81.074,"Feb 24, 14",0.02321019030887869
2014-02-25,80.926,81.2864,80.4398,80.7332,10664330,10664330,-0.108974,-0.135,80.8931,"Feb 25, 14",0.021830590165096395
2014-02-26,80.9427,81.1942,80.0793,80.2973,9088471,9088471,-0.435895,-0.54,80.5206,"Feb 26, 14",0.01631345527817311
2014-02-27,80.1213,80.5152,79.7692,80.3392,9101165,9101165,0.041911,0.052,80.2155,"Feb 27, 14",0.01684377863619578
2014-02-28,80.4398,81.1716,80.2889,80.6997,12652612,12652612,0.360453,0.449,80.7472,"Feb 28, 14",0.021406584616319436
2014-03-03,80.2721,80.926,79.4925,80.0542,11897226,11897226,-0.645463,-0.8,79.8187,"Mar 3, 14",0.0132365672510771
2014-03-04,80.9679,81.1942,80.3643,80.9092,12566341,12566341,0.855029,1.068,80.8438,"Mar 4, 14",0.024058201406432785
2014-03-05,79.8027,79.8782,78.2896,78.6291,19836928,19836928,-2.2801,-2.818,78.9465,"Mar 5, 14",-0.004800755362720934
2014-03-06,78.5202,78.7465,78.1849,78.5956,12612051,12612051,-0.033531,-0.043,78.462,"Mar 6, 14",-0.005224760911497893
2014-03-07,79.107,79.6854,78.7884,79.6267,12660051,12660051,1.0311,1.312,79.3891,"Mar 7, 14",0.007825750173399348
2014-03-10,79.7608,80.0961,79.35,80.0542,9967356,9967356,0.427514,0.537,79.7624,"Mar 10, 14",0.0132365672510771
2014-03-11,79.9368,80.1296,78.3944,78.8052,12144602,12144602,-1.249,-1.56,78.9993,"Mar 11, 14",-0.0025718784331791988
2014-03-12,78.495,79.1908,78.4196,78.9728,9705872,9705872,0.167653,0.213,78.7604,"Mar 12, 14",-0.0004505850010883411
2014-03-13,79.1656,79.2746,78.2352,78.495,9872689,9872689,-0.477813,-0.605,73.1016,"Mar 13, 14",-0.006498043246034473
2014-03-14,78.4447,78.9812,78.2016,78.3525,11731826,11731826,-0.142505,-0.182,78.5243,"Mar 14, 14",-0.008301648938593725
2014-03-17,78.7549,79.2411,78.5872,79.065,8676159,8676159,0.712528,0.909,78.9535,"Mar 17, 14",0.0007163795242025291
